Qatar;;;X;Ecuador
England;;;X;Iran
Senegal;;;;Netherlands
USA;;;;Wales
Argentina;;;;Saudi Arabia
Denmark;;;;Tunisia
Mexico;;;;Poland
France;;;;Australia
Morocco;;;;Croatia
Germany;;;;Japan
Spain;;;;Costa Rica
Belgium;;;;Canada
Switzerland;;;;Cameroon
Uruguay;;;;Korea Republic
Portugal;;;;Ghana
Brazil;;;;Serbia
Wales;;;;Iran
Qatar;;;;Senegal
Netherlands;;;;Ecuador
England;;;;USA
Tunisia;;;;Australia
Poland;;;;Saudi Arabia
France;;;;Denmark
Argentina;;;;Mexico
Japan;;;;Costa Rica
Belgium;;;;Morocco
Croatia;;;;Canada
Spain;;;;Germany
Cameroon;;;;Serbia
Korea Republic;;;;Ghana
Brazil;;;;Switzerland
Portugal;;;;Uruguay
Ecuador;;;;Senegal
Netherlands;;;;Qatar
Wales;;;;England
Iran;;;;USA
Australia;;;;Denmark
Tunisia;;;;France
Poland;;;;Argentina
Saudi Arabia;;;;Mexico
Croatia;;;;Belgium
Canada;;;;Morocco
Japan;;;;Spain
Costa Rica;;;;Germany
Ghana;;;;Uruguay
Korea Republic;;;;Portugal
Serbia;;;;Switzerland
Cameroon;;;;Brazil
