id;Ronda;equipo1;golesEquipo1;golesEquipo2;equipo2;Fase
1;;Qatar;0;2;Ecuador;0
2;;England;6;2;Iran;0
3;;Senegal;0;2;Netherlands;0
4;;USA;1;1;Wales;0
5;1;Argentina;1;2;Saudi Arabia;1
6;;Denmark;0;0;Tunisia;0
7;1;Mexico;0;0;Poland;1
8;1;France;4;1;Australia;2
9;1;Morocco;0;0;Croatia;2
10;2;Germany;1;2;Japan;2
11;2;Spain;7;0;Costa Rica;2
12;;Belgium;1;0;Canada;0
13;;Switzerland;1;0;Cameroon;0
14;;Uruguay;0;0;Korea Republic;0
15;;Portugal;3;2;Ghana;0
16;;Brazil;2;0;Serbia;0
17;;Wales;0;2;Iran;0
18;;Qatar;1;3;Senegal;0
19;;Netherlands;1;1;Ecuador;0
20;;England;0;0;USA;0
21;;Tunisia;0;1;Australia;0
22;2;Poland;2;0;Saudi Arabia;1
23;;France;2;1;Denmark;0
24;2;Argentina;2;0;Mexico;1
25;;Japan;0;1;Costa Rica;0
26;;Belgium;0;2;Morocco;0
27;;Croatia;4;1;Canada;0
28;;Spain;1;1;Germany;0
29;;Cameroon;3;3;Serbia;0
30;;Korea Republic;2;3;Ghana;0
31;;Brazil;1;0;Switzerland;0
32;;Portugal;2;0;Uruguay;0
33;;Ecuador;1;2;Senegal;0
34;;Netherlands;2;0;Qatar;0
35;;Wales;0;3;England;0
36;;Iran;0;1;USA;0
37;;Australia;1;0;Denmark;0
38;;Tunisia;1;0;France;0
39;;Poland;0;2;Argentina;0
40;;Saudi Arabia;1;2;Mexico;0
41;;Croatia;0;0;Belgium;0
42;;Canada;1;2;Morocco;0
43;;Japan;2;1;Spain;0
44;;Costa Rica;2;4;Germany;0
45;;Ghana;0;2;Uruguay;0
46;;Korea Republic;2;1;Portugal;0
47;;Serbia;2;3;Switzerland;0
48;;Cameroon;1;0;Brazil;0
